onset	duration	eventnumber	sequencenumber	condition	streamnumber	stimnumber	objectstimnumber	letterstimnumber	objecttarget	lettertarget	is2back	objectstim	letterstim	response	rt	correct	time_stimon	time_stimoff
12.341	0.2	0	0	0	14	0	10	1	0	0	0	stim011_stimuli_original_vehicles_boats_3.png	B	0	0	0	34.4192642123671	34.6192654801998
12.742	0.2	1	0	0	14	1	12	6	0	0	0	stim013_stimuli_original_vehicles_planes_1.png	G	0	0	0	34.8201895667007	35.0192611891543
13.141	0.2	2	0	0	14	2	5	8	0	0	0	stim006_stimuli_original_animals_fish_2.png	K	0	0	0	35.2192566054873	35.4192639685934
13.541	0.2	3	0	0	14	3	13	12	0	0	0	stim014_stimuli_original_vehicles_planes_2.png	T	0	0	0	35.6192752325442	35.8192743060645
13.941	0.2	4	0	0	14	4	7	9	0	0	0	stim008_stimuli_original_animals_fish_4.png	L	0	0	0	36.0192855701316	36.2192814741284
14.341	0.2	5	0	0	14	5	5	3	1	1	0	stim006_stimuli_original_animals_fish_2.png	D	0	0	0	36.4192832295084	36.6192918115994
14.741	0.2	6	0	0	14	6	6	10	0	0	0	stim007_stimuli_original_animals_fish_3.png	Q	0	0	0	36.8193259936525	37.0193389643682
15.141	0.2	7	0	0	14	7	5	3	1	1	1	stim006_stimuli_original_animals_fish_2.png	D	0	0	0	37.2193341369275	37.4193375989562
15.541	0.2	8	0	0	14	8	2	11	0	0	0	stim003_stimuli_original_animals_birds_3.png	R	0	0	0	37.6193464249372	37.8193525689421
15.941	0.2	9	0	0	14	9	0	15	0	0	0	stim001_stimuli_original_animals_birds_1.png	Y	NaN	38.0121027003042	1	38.0193765109871	38.2193626626395
16.341	0.2	10	0	0	14	10	4	3	0	0	0	stim005_stimuli_original_animals_fish_1.png	D	0	0	0	38.4193590541836	38.6193693430396
16.741	0.2	11	0	0	14	11	1	14	0	0	0	stim002_stimuli_original_animals_birds_2.png	V	0	0	0	38.8193798755528	39.0193845566828
17.141	0.2	12	0	0	14	12	15	0	0	0	0	stim016_stimuli_original_vehicles_planes_4.png	A	0	0	0	39.2193877749378	39.419389774208
17.541	0.2	13	0	0	14	13	11	7	0	0	0	stim012_stimuli_original_vehicles_boats_4.png	J	0	0	0	39.6193995754002	39.8194005993428
17.941	0.2	14	0	0	14	14	8	5	0	0	0	stim009_stimuli_original_vehicles_boats_1.png	F	0	0	0	40.0193877262063	40.2193987463834
18.341	0.2	15	0	0	14	15	3	2	0	0	0	stim004_stimuli_original_animals_birds_4.png	C	0	0	0	40.4194175684825	40.6194056705572
18.741	0.2	16	0	0	14	16	9	4	0	0	0	stim010_stimuli_original_vehicles_boats_2.png	E	0	0	0	40.8194352203282	41.0194386823568
19.141	0.2	17	0	0	14	17	14	13	0	0	0	stim015_stimuli_original_vehicles_planes_3.png	U	0	0	0	41.219440681627	41.4194268332794
19.541	0.2	18	0	0	14	18	13	14	0	0	0	stim014_stimuli_original_vehicles_planes_2.png	V	0	0	0	41.6194498001132	41.8194559441181
19.941	0.2	19	0	0	14	19	4	9	0	0	0	stim005_stimuli_original_animals_fish_1.png	L	0	0	0	42.0194623318966	42.2194670130266
20.341	0.2	20	0	0	14	20	2	3	0	0	0	stim003_stimuli_original_animals_birds_3.png	D	0	0	0	42.4194697437342	42.6194697924657
20.741	0.2	21	0	0	14	21	5	8	0	0	0	stim006_stimuli_original_animals_fish_2.png	K	0	0	0	42.8194532622583	43.0194920767099
21.141	0.2	22	0	0	14	22	7	11	0	0	0	stim008_stimuli_original_animals_fish_4.png	R	0	0	0	43.2195052910829	43.4194814466173
21.541	0.2	23	0	0	14	23	0	15	0	0	0	stim001_stimuli_original_animals_birds_1.png	Y	0	0	0	43.6194875906222	43.8195178717142
21.941	0.2	24	0	0	14	24	14	1	0	0	0	stim015_stimuli_original_vehicles_planes_3.png	B	0	0	0	44.0195142633747	44.2195072416216
22.341	0.2	25	0	0	14	25	3	4	0	0	0	stim004_stimuli_original_animals_birds_4.png	E	0	0	0	44.4195116789779	44.6195139220217
22.741	0.2	26	0	0	14	26	15	0	0	0	0	stim016_stimuli_original_vehicles_planes_4.png	A	0	0	0	44.8195483478485	45.0195469338214
23.141	0.2	27	0	0	14	27	11	2	0	0	0	stim012_stimuli_original_vehicles_boats_4.png	C	0	0	0	45.2195547844749	45.4195365475025
23.541	0.2	28	0	0	14	28	3	5	1	1	0	stim004_stimuli_original_animals_birds_4.png	F	0	0	0	45.6195568324765	45.8195420088014
23.941	0.2	29	0	0	14	29	10	6	0	0	0	stim011_stimuli_original_vehicles_boats_3.png	G	0	0	0	46.0195376690244	46.2195396682946
24.341	0.2	30	0	0	14	30	3	5	1	1	1	stim004_stimuli_original_animals_birds_4.png	F	0	0	0	46.4195467875106	46.6195502495393
24.741	0.2	31	0	0	14	31	9	7	0	0	0	stim010_stimuli_original_vehicles_boats_2.png	J	NaN	46.8121260572225	1	46.8195610259427	47.0195625375491
25.141	0.2	32	0	0	14	32	12	13	0	0	0	stim013_stimuli_original_vehicles_planes_1.png	U	0	0	0	47.219568925444	47.4195731189102
25.542	0.2	33	0	0	14	33	8	5	0	0	0	stim009_stimuli_original_vehicles_boats_1.png	F	0	0	0	47.6195865771733	47.8195815059589
25.942	0.2	34	0	0	14	34	6	12	0	0	0	stim007_stimuli_original_animals_fish_3.png	T	0	0	0	48.0195917946985	48.219595744391
26.342	0.2	35	0	0	14	35	1	10	0	0	0	stim002_stimuli_original_animals_birds_2.png	Q	0	0	0	48.4196023760596	48.6196029124549
28.525	0.2	36	1	1	26	0	0	7	0	0	0	stim001_stimuli_original_animals_birds_1.png	J	0	0	0	50.6030102175428	50.8030136796879
28.925	0.2	37	1	1	26	1	9	1	0	0	0	stim010_stimuli_original_vehicles_boats_2.png	B	0	0	0	51.0030176293803	51.2030447409488
29.325	0.2	38	1	1	26	2	6	9	0	0	0	stim007_stimuli_original_animals_fish_3.png	L	0	0	0	51.4030306488276	51.6032813336933
29.725	0.2	39	1	1	26	3	7	3	0	0	0	stim008_stimuli_original_animals_fish_4.png	D	0	0	0	51.8030400110874	52.0030727302656
30.125	0.2	40	1	1	26	4	13	11	0	0	0	stim014_stimuli_original_vehicles_planes_2.png	R	0	0	0	52.2030679028248	52.4030538107036
30.525	0.2	41	1	1	26	5	2	14	0	0	0	stim003_stimuli_original_animals_birds_3.png	V	0	0	0	52.6030660498654	52.8030648796121
30.925	0.2	42	1	1	26	6	15	13	0	1	0	stim016_stimuli_original_vehicles_planes_4.png	U	0	0	0	53.0030856521334	53.2030922838021
31.325	0.2	43	1	1	26	7	4	10	0	0	0	stim005_stimuli_original_animals_fish_1.png	Q	0	0	0	53.4031028163154	53.6031014022883
31.725	0.2	44	1	1	26	8	5	13	0	1	1	stim006_stimuli_original_animals_fish_2.png	U	0	0	0	53.803110472043	54.0031197854551
32.125	0.2	45	1	1	26	9	8	15	0	0	0	stim009_stimuli_original_vehicles_boats_1.png	Y	NaN	54.1956965684658	1	54.203118371428	54.4031220773468
32.525	0.2	46	1	1	26	10	2	12	1	0	0	stim003_stimuli_original_animals_birds_3.png	T	0	0	0	54.6031155432574	54.803135096794
32.925	0.2	47	1	1	26	11	12	0	0	0	0	stim013_stimuli_original_vehicles_planes_1.png	A	0	0	0	55.0031407531351	55.2031481161248
33.325	0.2	48	1	1	26	12	2	5	1	0	0	stim003_stimuli_original_animals_birds_3.png	F	0	0	0	55.4031376810744	55.6031535775401
33.725	0.2	49	1	1	26	13	10	8	0	0	0	stim011_stimuli_original_vehicles_boats_3.png	K	0	0	0	55.803162159631	56.0031639150111
34.125	0.2	50	1	1	26	14	11	6	0	0	0	stim012_stimuli_original_vehicles_boats_4.png	G	0	0	0	56.2031800552504	56.4031764467945
34.525	0.2	51	1	1	26	15	1	13	0	0	0	stim002_stimuli_original_animals_birds_2.png	U	0	0	0	56.6031825907994	56.803186784382
34.925	0.2	52	1	1	26	16	14	2	0	0	0	stim015_stimuli_original_vehicles_planes_3.png	C	0	0	0	57.0032034121687	57.2031800552504
35.325	0.2	53	1	1	26	17	3	4	0	0	0	stim004_stimuli_original_animals_birds_4.png	E	0	0	0	57.403205703944	57.6031930745812
35.725	0.2	54	1	1	26	18	4	3	0	0	0	stim005_stimuli_original_animals_fish_1.png	D	0	0	0	57.8031841024058	58.0031909778481
36.125	0.2	55	1	1	26	19	2	14	0	0	0	stim003_stimuli_original_animals_birds_3.png	V	0	0	0	58.2031956589781	58.403198145912
36.525	0.2	56	1	1	26	20	13	1	0	0	0	stim014_stimuli_original_vehicles_planes_2.png	B	0	0	0	58.6032033145893	58.8032075081719
36.925	0.2	57	1	1	26	21	6	11	0	0	0	stim007_stimuli_original_animals_fish_3.png	R	0	0	0	59.0032151150517	59.2032195522916
37.325	0.2	58	1	1	26	22	8	10	0	0	0	stim009_stimuli_original_vehicles_boats_1.png	Q	0	0	0	59.4032400810393	59.6032598784659
37.725	0.2	59	1	1	26	23	5	2	0	1	0	stim006_stimuli_original_animals_fish_2.png	C	0	0	0	59.8032691918779	60.0032763112104
38.125	0.2	60	1	1	26	24	0	12	0	0	0	stim001_stimuli_original_animals_birds_1.png	T	0	0	0	60.2032834304264	60.4032820162829
38.525	0.2	61	1	1	26	25	12	2	0	1	1	stim013_stimuli_original_vehicles_planes_1.png	C	0	0	0	60.6032903546002	60.8033033251995
38.925	0.2	62	1	1	26	26	15	8	0	0	0	stim016_stimuli_original_vehicles_planes_4.png	K	NaN	61.1950658333953	1	61.0032997168601	61.2033065923024
39.325	0.2	63	1	1	26	27	13	5	1	0	0	stim014_stimuli_original_vehicles_planes_2.png	F	0	0	0	61.4033149306197	61.6032979126321
39.725	0.2	64	1	1	26	28	10	4	0	0	0	stim011_stimuli_original_vehicles_boats_3.png	E	0	0	0	61.8033203919185	62.0033255607123
40.125	0.2	65	1	1	26	29	13	15	1	0	0	stim014_stimuli_original_vehicles_planes_2.png	Y	0	0	0	62.2035606417339	62.4033358981833
40.525	0.2	66	1	1	26	30	14	2	0	0	0	stim015_stimuli_original_vehicles_planes_3.png	C	0	0	0	62.6033337527188	62.8033459918806
40.925	0.2	67	1	1	26	31	11	13	0	0	0	stim012_stimuli_original_vehicles_boats_4.png	U	0	0	0	63.0033479911508	63.2033490150934
41.325	0.2	68	1	1	26	32	3	7	0	0	0	stim004_stimuli_original_animals_birds_4.png	J	0	0	0	63.4033578410745	63.6033578898059
