onset	duration	eventnumber	sequencenumber	condition	streamnumber	stimnumber	objectstimnumber	letterstimnumber	objecttarget	lettertarget	is2back	objectstim	letterstim	response	rt	correct	time_stimon	time_stimoff
84.34	0.2	0	0	0	38	0	15	2	0	0	0	stim016_stimuli_original_vehicles_planes_4.png	C	0	0	0	55.0125644754153	55.2125528213219
84.741	0.2	1	0	0	38	1	3	8	0	0	0	stim004_stimuli_original_animals_birds_4.png	K	0	0	0	55.4134439936024	55.6125770559884
85.14	0.2	2	0	0	38	2	10	0	0	0	0	stim011_stimuli_original_vehicles_boats_3.png	A	0	0	0	55.8125812495127	56.0125849554315
85.54	0.2	3	0	0	38	3	11	6	0	0	0	stim012_stimuli_original_vehicles_boats_4.png	G	0	0	0	56.2125940251281	56.412598706258
85.94	0.2	4	0	0	38	4	4	11	0	0	0	stim005_stimuli_original_animals_fish_1.png	R	0	0	0	56.6125933912117	56.8126012418652
86.34	0.2	5	0	0	38	5	14	14	0	0	0	stim015_stimuli_original_vehicles_planes_3.png	V	0	0	0	57.0126064106589	57.2126152365818
86.74	0.2	6	0	0	38	6	8	5	1	0	0	stim009_stimuli_original_vehicles_boats_1.png	F	0	0	0	57.4126240624464	57.6126309378888
87.14	0.2	7	0	0	38	7	6	12	0	0	0	stim007_stimuli_original_animals_fish_3.png	T	0	0	0	57.8126361066243	58.0126390811056
87.54	0.2	8	0	0	38	8	8	9	1	0	1	stim009_stimuli_original_vehicles_boats_1.png	L	0	0	0	58.2126437622355	58.4126511252834
87.94	0.2	9	0	0	38	9	5	7	0	0	0	stim006_stimuli_original_animals_fish_2.png	J	0	0	0	58.6126453226316	58.8126590247266
88.34	0.2	10	0	0	38	10	0	5	0	1	0	stim001_stimuli_original_animals_birds_1.png	F	0	0	0	59.0126515154261	59.2126737508224
88.74	0.2	11	0	0	38	11	12	10	0	0	0	stim013_stimuli_original_vehicles_planes_1.png	Q	0	0	0	59.4126798948273	59.6126833569142
89.14	0.2	12	0	0	38	12	13	5	0	1	0	stim014_stimuli_original_vehicles_planes_2.png	F	0	0	0	59.8126680456917	60.0126707763411
89.54	0.2	13	0	0	38	13	8	1	0	0	0	stim009_stimuli_original_vehicles_boats_1.png	B	NaN	60.4044405987952	1	60.2126737508224	60.4126779443468
89.94	0.2	14	0	0	38	14	9	4	0	0	0	stim010_stimuli_original_vehicles_boats_2.png	E	0	0	0	60.6126887206919	60.8127170513617
90.34	0.2	15	0	0	38	15	1	13	0	0	0	stim002_stimuli_original_animals_birds_2.png	U	0	0	0	61.0127117363154	61.2127190993633
90.74	0.2	16	0	0	38	16	2	3	0	0	0	stim003_stimuli_original_animals_birds_3.png	D	0	0	0	61.4127315824153	61.6127304121037
91.14	0.2	17	0	0	38	17	7	15	0	0	0	stim008_stimuli_original_animals_fish_4.png	Y	0	0	0	61.812739969464	62.0127427001134
91.54	0.2	18	0	0	38	18	15	7	0	0	0	stim016_stimuli_original_vehicles_planes_4.png	J	0	0	0	62.2127520136419	62.4127764433506
91.94	0.2	19	0	0	38	19	3	2	0	0	0	stim004_stimuli_original_animals_birds_4.png	C	0	0	0	62.6127550368547	62.8127636190038
92.34	0.2	20	0	0	38	20	13	1	0	0	0	stim014_stimuli_original_vehicles_planes_2.png	B	0	0	0	63.0127734201378	63.2127732250956
92.74	0.2	21	0	0	38	21	4	9	0	0	0	stim005_stimuli_original_animals_fish_1.png	L	0	0	0	63.4127837576088	63.6127906330512
93.14	0.2	22	0	0	38	22	1	8	0	0	0	stim002_stimuli_original_animals_birds_2.png	K	0	0	0	63.8127931199269	64.0127951191389
93.54	0.2	23	0	0	38	23	5	13	1	0	0	stim006_stimuli_original_animals_fish_2.png	U	0	0	0	64.2128054079367	64.4128181347623
93.94	0.2	24	0	0	38	24	10	12	0	0	0	stim011_stimuli_original_vehicles_boats_3.png	T	0	0	0	64.6128145263647	64.8128155503655
94.34	0.2	25	0	0	38	25	5	0	1	0	1	stim006_stimuli_original_animals_fish_2.png	A	0	0	0	65.0128270582063	65.2128017507493
94.74	0.2	26	0	0	38	26	7	5	0	0	0	stim008_stimuli_original_animals_fish_4.png	F	0	0	0	65.4128366642981	65.612840126385
95.14	0.2	27	0	0	38	27	9	8	0	1	0	stim010_stimuli_original_vehicles_boats_2.png	K	0	0	0	65.812826765643	66.0128324219841
95.54	0.2	28	0	0	38	28	12	6	0	0	0	stim013_stimuli_original_vehicles_planes_1.png	G	0	0	0	66.2128314955044	66.4128605576116
95.94	0.2	29	0	0	38	29	5	8	0	1	0	stim006_stimuli_original_animals_fish_2.png	K	0	0	0	66.6128696273081	66.8128738208325
96.34	0.2	30	0	0	38	30	14	14	0	0	0	stim015_stimuli_original_vehicles_planes_3.png	V	0	0	0	67.0128677743487	67.2128702612245
96.74	0.2	31	0	0	38	31	11	4	0	0	0	stim012_stimuli_original_vehicles_boats_4.png	E	NaN	67.4130653575412	0	67.412880549964	67.6128696273081
97.14	0.2	32	0	0	38	32	6	11	0	0	0	stim007_stimuli_original_animals_fish_3.png	R	0	0	0	67.812873089395	68.012871431536
97.54	0.2	33	0	0	38	33	0	10	0	0	0	stim001_stimuli_original_animals_birds_1.png	Q	0	0	0	68.2129046383779	68.4128873766167
97.94	0.2	34	0	0	38	34	8	3	0	0	0	stim009_stimuli_original_vehicles_boats_1.png	D	0	0	0	68.6129264349001	68.812905516068
98.34	0.2	35	0	0	38	35	2	15	0	0	0	stim003_stimuli_original_animals_birds_3.png	Y	0	0	0	69.0129021515022	69.2129380402621
103.19	0.2	36	1	1	10	0	1	0	0	0	0	stim002_stimuli_original_animals_birds_2.png	A	0	0	0	73.863054678659	74.0630539960111
103.59	0.2	37	1	1	10	1	13	1	0	0	0	stim014_stimuli_original_vehicles_planes_2.png	B	0	0	0	74.2630772066768	74.4630792058888
103.99	0.2	38	1	1	10	2	6	12	0	0	0	stim007_stimuli_original_animals_fish_3.png	T	0	0	0	74.6630899822921	74.8633150671376
104.39	0.2	39	1	1	10	3	9	9	0	0	0	stim010_stimuli_original_vehicles_boats_2.png	L	0	0	0	75.0630991007783	75.2630830581184
104.79	0.2	40	1	1	10	4	0	10	0	0	0	stim001_stimuli_original_animals_birds_1.png	Q	0	0	0	75.4630679906695	75.663110949914
105.19	0.2	41	1	1	10	5	14	3	0	0	0	stim015_stimuli_original_vehicles_planes_3.png	D	0	0	0	75.863119288173	76.0631310397875
105.59	0.2	42	1	1	10	6	4	8	0	0	0	stim005_stimuli_original_animals_fish_1.png	K	0	0	0	76.2631332828314	76.4631318687461
105.99	0.2	43	1	1	10	7	15	15	1	0	0	stim016_stimuli_original_vehicles_planes_4.png	Y	0	0	0	76.6631433765288	76.863145131967
106.39	0.2	44	1	1	10	8	11	4	0	0	0	stim012_stimuli_original_vehicles_boats_4.png	E	0	0	0	77.0631481064484	77.2631518123671
106.79	0.2	45	1	1	10	9	15	13	1	1	0	stim016_stimuli_original_vehicles_planes_4.png	U	0	0	0	77.4631430839654	77.6631436203606
107.19	0.2	46	1	1	10	10	7	14	0	0	0	stim008_stimuli_original_animals_fish_4.png	V	0	0	0	77.8631729262415	78.0631744378479
107.59	0.2	47	1	1	10	11	12	13	0	1	1	stim013_stimuli_original_vehicles_planes_1.png	U	0	0	0	78.2631788752042	78.463183800166
107.99	0.2	48	1	1	10	12	2	2	0	0	0	stim003_stimuli_original_animals_birds_3.png	C	0	0	0	78.663190919382	78.863170975761
108.39	0.2	49	1	1	10	13	5	11	0	0	0	stim006_stimuli_original_animals_fish_2.png	R	0	0	0	79.0632027197862	79.2631888713804
108.79	0.2	50	1	1	10	14	15	13	0	0	0	stim016_stimuli_original_vehicles_planes_4.png	U	0	0	0	79.4631972096977	79.6632170070079
109.19	0.2	51	1	1	10	15	3	7	0	0	0	stim004_stimuli_original_animals_birds_4.png	J	NaN	80.063389234012	1	79.863202183391	80.0632024759543
109.59	0.2	52	1	1	10	16	10	6	0	0	0	stim011_stimuli_original_vehicles_boats_3.png	G	0	0	0	80.2632212980534	80.4632164706127
109.99	0.2	53	1	1	10	17	8	5	0	0	0	stim009_stimuli_original_vehicles_boats_1.png	F	0	0	0	80.6632460203255	80.8632514328929
110.39	0.2	54	1	1	10	18	5	8	0	0	0	stim006_stimuli_original_animals_fish_2.png	K	0	0	0	81.0632412416744	81.2632278808742
110.79	0.2	55	1	1	10	19	6	10	0	0	0	stim007_stimuli_original_animals_fish_3.png	Q	0	0	0	81.4632486534538	81.6632679631584
111.19	0.2	56	1	1	10	20	7	3	0	0	0	stim008_stimuli_original_animals_fish_4.png	D	0	0	0	81.8632765452494	82.0632819578168
111.59	0.2	57	1	1	10	21	13	15	0	0	0	stim014_stimuli_original_vehicles_planes_2.png	Y	0	0	0	82.2632881018217	82.4632908324711
111.99	0.2	58	1	1	10	22	11	5	0	0	0	stim012_stimuli_original_vehicles_boats_4.png	F	0	0	0	82.6633186755353	82.8633038519183
112.39	0.2	59	1	1	10	23	2	2	0	0	0	stim003_stimuli_original_animals_birds_3.png	C	0	0	0	83.0633078016108	83.2633105323184
112.79	0.2	60	1	1	10	24	13	12	1	0	0	stim014_stimuli_original_vehicles_planes_2.png	T	0	0	0	83.463316920097	83.6633072164841
113.19	0.2	61	1	1	10	25	14	7	0	0	0	stim015_stimuli_original_vehicles_planes_3.png	J	0	0	0	83.8633272576262	84.0633516873349
113.59	0.2	62	1	1	10	26	13	15	1	1	0	stim014_stimuli_original_vehicles_planes_2.png	Y	0	0	0	84.263340764679	84.463345445809
113.99	0.2	63	1	1	10	27	4	11	0	0	0	stim005_stimuli_original_animals_fish_1.png	R	0	0	0	84.6633518336457	84.8633540766896
114.39	0.2	64	1	1	10	28	15	15	0	1	1	stim016_stimuli_original_vehicles_planes_4.png	Y	0	0	0	85.0633672911208	85.2633644141606
114.791	0.2	65	1	1	10	29	8	4	0	0	0	stim009_stimuli_original_vehicles_boats_1.png	E	0	0	0	85.4636075409362	85.6633652431192
115.19	0.2	66	1	1	10	30	3	14	0	0	0	stim004_stimuli_original_animals_birds_4.png	V	NaN	86.0551270198775	1	85.8633604157367	86.0633680225583
115.59	0.2	67	1	1	10	31	10	0	0	0	0	stim011_stimuli_original_vehicles_boats_3.png	A	0	0	0	86.2633870884893	86.4633805543417
115.99	0.2	68	1	1	10	32	9	9	0	0	0	stim010_stimuli_original_vehicles_boats_2.png	L	0	0	0	86.6634049840504	86.8633906480973
116.39	0.2	69	1	1	10	33	12	6	0	0	0	stim013_stimuli_original_vehicles_planes_1.png	G	0	0	0	87.0633950853953	87.2634187836666
116.79	0.2	70	1	1	10	34	1	13	0	0	0	stim002_stimuli_original_animals_birds_2.png	U	0	0	0	87.463428097195	87.6634274145472
117.19	0.2	71	1	1	10	35	0	1	0	0	0	stim001_stimuli_original_animals_birds_1.png	B	0	0	0	87.8634364842437	88.0634406777681
121.741	0.2	72	2	0	29	0	7	2	0	0	0	stim008_stimuli_original_animals_fish_4.png	C	0	0	0	92.4135590716614	92.613558876561
122.141	0.2	73	2	0	29	1	6	12	0	0	0	stim007_stimuli_original_animals_fish_3.png	T	0	0	0	92.8135677024839	93.0135757969692
122.541	0.2	74	2	0	29	2	4	13	0	0	0	stim005_stimuli_original_animals_fish_1.png	U	0	0	0	93.2135602419148	93.4135858906666
122.941	0.2	75	2	0	29	3	2	3	0	0	0	stim003_stimuli_original_animals_birds_3.png	D	0	0	0	93.6135703356122	93.8135928148404
123.341	0.2	76	2	0	29	4	3	10	0	0	0	stim004_stimuli_original_animals_birds_4.png	Q	0	0	0	94.0135965207592	94.2135997390724
123.741	0.2	77	2	0	29	5	14	15	0	0	0	stim015_stimuli_original_vehicles_planes_3.png	Y	0	0	0	94.4135953992372	94.6135930098826
124.141	0.2	78	2	0	29	6	8	0	0	0	0	stim009_stimuli_original_vehicles_boats_1.png	A	0	0	0	94.8136069558095	95.0136308979127
124.541	0.2	79	2	0	29	7	5	13	0	1	0	stim006_stimuli_original_animals_fish_2.png	U	0	0	0	95.2136163180694	95.4136307516019
124.941	0.2	80	2	0	29	8	1	11	0	0	0	stim002_stimuli_original_animals_birds_2.png	R	0	0	0	95.6136417717789	95.8136306053493
