onset	duration	eventnumber	sequencenumber	condition	streamnumber	stimnumber	objectstimnumber	letterstimnumber	objecttarget	lettertarget	is2back	objectstim	letterstim	response	rt	correct	time_stimon	time_stimoff
12485	100	0	0	0	0	0	6	12	0	0	0	stim007_stimuli_original_animals_fish_3.png	T	0	0	0	34.7263585305773	34.9263405373786
12585.25	100	1	0	0	0	1	7	5	0	0	0	stim008_stimuli_original_animals_fish_4.png	F	0	0	0	35.1271934316028	35.3263577015605
12685	100	2	0	0	0	2	4	6	0	0	0	stim005_stimuli_original_animals_fish_1.png	G	0	0	0	35.5263796930667	35.7263833989855
12785	100	3	0	0	0	3	0	0	0	0	0	stim001_stimuli_original_animals_birds_1.png	A	0	0	0	35.9263844231609	36.1263603346888
12885	100	4	0	0	0	4	9	11	0	0	0	stim010_stimuli_original_vehicles_boats_2.png	R	0	0	0	36.3263884214684	36.5264011484105
12985	100	5	0	0	0	5	5	3	0	0	0	stim006_stimuli_original_animals_fish_2.png	D	0	0	0	36.7264099742752	36.926412217319
13085	100	6	0	0	0	6	13	10	0	0	0	stim014_stimuli_original_vehicles_planes_2.png	Q	0	0	0	37.1263934927993	37.3264006120153
13185.25	100	7	0	0	0	7	15	14	0	0	0	stim016_stimuli_original_vehicles_planes_4.png	V	0	0	0	37.5264330874197	37.7264038790017
13285	100	8	0	0	0	8	1	1	0	0	0	stim002_stimuli_original_animals_birds_2.png	B	0	0	0	37.9264097793493	38.1264112908393
13385.25	100	9	0	0	0	9	5	2	1	0	0	stim006_stimuli_original_animals_fish_2.png	C	0	0	0	38.3264284061734	38.5264252854977
13485.25	100	10	0	0	0	10	12	8	0	0	0	stim013_stimuli_original_vehicles_planes_1.png	K	0	0	0	38.7264397190884	38.9264331848826
13585.25	100	11	0	0	0	11	5	4	1	0	1	stim006_stimuli_original_animals_fish_2.png	E	d	39.1191050535999	1	39.1264410356525	39.3264476673212
13685.25	100	12	0	0	0	12	8	12	0	1	0	stim009_stimuli_original_vehicles_boats_1.png	T	0	0	0	39.5264516170137	39.7264550789259
13785.25	100	13	0	0	0	13	14	7	0	0	0	stim015_stimuli_original_vehicles_planes_3.png	J	0	0	0	39.9264602477197	40.1264651727397
13885.25	100	14	0	0	0	14	11	12	0	1	0	stim012_stimuli_original_vehicles_boats_4.png	T	0	0	0	40.3265137395356	40.5265062302351
13985.25	100	15	0	0	0	15	10	9	0	0	0	stim011_stimuli_original_vehicles_boats_3.png	L	0	0	0	40.7265128619038	40.9265177869238
14085.25	100	16	0	0	0	16	3	15	0	0	0	stim004_stimuli_original_animals_birds_4.png	Y	0	0	0	41.1265249061398	41.326509838691
14185.25	100	17	0	0	0	17	2	13	0	0	0	stim003_stimuli_original_animals_birds_3.png	U	0	0	0	41.5265357312746	41.726543338038
14285.25	100	18	0	0	0	18	13	2	0	0	0	stim014_stimuli_original_vehicles_planes_2.png	C	0	0	0	41.9265238819644	42.1265483116731
14385.25	100	19	0	0	0	19	15	3	0	0	0	stim016_stimuli_original_vehicles_planes_4.png	D	0	0	0	42.3265546995681	42.5265620625578
14485.25	100	20	0	0	0	20	9	10	0	0	0	stim010_stimuli_original_vehicles_boats_2.png	Q	0	0	0	42.7265669875778	42.9265582591761
14585.25	100	21	0	0	0	21	12	11	1	0	0	stim013_stimuli_original_vehicles_planes_1.png	R	0	0	0	43.1265475803521	43.3265512862708
14685.25	100	22	0	0	0	22	7	14	0	0	0	stim008_stimuli_original_animals_fish_4.png	V	d	43.5191139283124	0	43.5265579179395	43.7265691817738
14785.25	100	23	0	0	0	23	12	8	1	0	1	stim013_stimuli_original_vehicles_planes_1.png	K	0	0	0	43.9265716685914	44.1265956107527
14885.25	100	24	0	0	0	24	4	5	0	1	0	stim005_stimuli_original_animals_fish_1.png	F	0	0	0	44.326611750992	44.526594001567
14985.25	100	25	0	0	0	25	8	12	0	0	0	stim009_stimuli_original_vehicles_boats_1.png	T	0	0	0	44.7266257456504	44.9266233562957
15085.25	100	26	0	0	0	26	2	5	0	1	0	stim003_stimuli_original_animals_birds_3.png	F	0	0	0	45.1266129212454	45.3266144329682
15185.25	100	27	0	0	0	27	1	1	0	0	0	stim002_stimuli_original_animals_birds_2.png	B	0	0	0	45.5266447139438	45.7266476885416
15285.25	100	28	0	0	0	28	14	15	0	0	0	stim015_stimuli_original_vehicles_planes_3.png	Y	0	0	0	45.9266594401561	46.1266526621766
15385.25	100	29	0	0	0	29	10	13	0	0	0	stim011_stimuli_original_vehicles_boats_3.png	U	0	0	0	46.3266466157511	46.5266527596395
15485.25	100	30	0	0	0	30	3	5	0	0	0	stim004_stimuli_original_animals_birds_4.png	F	0	0	0	46.726671581855	46.926682358142
15585.25	100	31	0	0	0	31	11	9	0	0	0	stim012_stimuli_original_vehicles_boats_4.png	L	0	0	0	47.1266865516081	47.326669533737
15685.25	100	32	0	0	0	32	0	0	0	0	0	stim001_stimuli_original_animals_birds_1.png	A	0	0	0	47.5266749463044	47.7267032770906
15785.25	100	33	0	0	0	33	6	4	0	0	0	stim007_stimuli_original_animals_fish_3.png	E	0	0	0	47.9267267314717	48.1267133706715
15885.25	100	34	0	0	0	34	5	7	0	0	0	stim006_stimuli_original_animals_fish_2.png	J	0	0	0	48.3267148823943	48.526695182547
15985.25	100	35	0	0	0	35	12	6	0	0	0	stim013_stimuli_original_vehicles_planes_1.png	G	0	0	0	48.7267035208642	48.9267303885426
16789.25	100	36	1	1	19	0	11	7	0	0	0	stim012_stimuli_original_vehicles_boats_4.png	J	0	0	0	51.9434642491397	52.143461859785
16889.25	100	37	1	1	19	1	13	9	0	0	0	stim014_stimuli_original_vehicles_planes_2.png	L	0	0	0	52.3434631277341	52.5434731727
16989.5	100	38	1	1	19	2	2	4	0	0	0	stim003_stimuli_original_animals_birds_3.png	E	0	0	0	52.7434822423384	52.9437495062593
17089.5	100	39	1	1	19	3	0	0	0	0	0	stim001_stimuli_original_animals_birds_1.png	A	0	0	0	53.1435135474894	53.3434977487195
17189.5	100	40	1	1	19	4	10	10	0	0	0	stim011_stimuli_original_vehicles_boats_3.png	Q	0	0	0	53.5435097441077	53.7435297851916
17289.5	100	41	1	1	19	5	15	2	0	0	0	stim016_stimuli_original_vehicles_planes_4.png	C	0	0	0	53.9435300778132	54.1435369532555
17389.5	100	42	1	1	19	6	1	14	0	0	0	stim002_stimuli_original_animals_birds_2.png	V	0	0	0	54.3435287124012	54.543523153523
17489.5	100	43	1	1	19	7	14	8	0	0	0	stim015_stimuli_original_vehicles_planes_3.png	K	0	0	0	54.7435349051375	54.9435354415327
17589.5	100	44	1	1	19	8	13	5	1	0	0	stim014_stimuli_original_vehicles_planes_2.png	F	0	0	0	55.1435413416475	55.3435455353465
17689.5	100	45	1	1	19	9	12	15	0	0	0	stim013_stimuli_original_vehicles_planes_1.png	Y	0	0	0	55.5435519230086	55.7435583109036
17789.5	100	46	1	1	19	10	13	13	1	0	0	stim014_stimuli_original_vehicles_planes_2.png	U	0	0	0	55.9435625043698	56.1435881531797
17889.5	100	47	1	1	19	11	3	6	0	0	0	stim004_stimuli_original_animals_birds_4.png	G	0	0	0	56.3435774743557	56.5435736221261
17989.5	100	48	1	1	19	12	4	8	0	1	0	stim005_stimuli_original_animals_fish_1.png	K	0	0	0	56.7435875679366	56.9435883481055
18089.5	100	49	1	1	19	13	9	3	0	0	0	stim010_stimuli_original_vehicles_boats_2.png	D	d	57.3353610963095	0	57.1435957113281	57.3436006361153
18189.5	100	50	1	1	19	14	7	8	0	1	1	stim008_stimuli_original_animals_fish_4.png	K	0	0	0	57.5436079993378	57.7436058537569
18289.5	100	51	1	1	19	15	5	12	0	0	0	stim006_stimuli_original_animals_fish_2.png	T	0	0	0	57.9436205311213	58.1436532502994
18389.5	100	52	1	1	19	16	6	1	0	0	0	stim007_stimuli_original_animals_fish_3.png	B	d	58.336228082655	1	58.3436579313129	58.5436552981846
18489.5	100	53	1	1	19	17	8	11	0	0	0	stim009_stimuli_original_vehicles_boats_1.png	R	0	0	0	58.7436419376172	58.9436453995295
18589.5	100	54	1	1	19	18	11	8	0	0	0	stim012_stimuli_original_vehicles_boats_4.png	K	0	0	0	59.1436686103698	59.343673535157
18689.5	100	55	1	1	19	19	1	6	0	0	0	stim002_stimuli_original_animals_birds_2.png	G	d	59.7354431138374	1	59.5436804105993	59.7436831411906
18789.5	100	56	1	1	19	20	12	5	0	0	0	stim013_stimuli_original_vehicles_planes_1.png	F	0	0	0	59.9436929423828	60.143684213981
18889.5	100	57	1	1	19	21	8	7	1	0	0	stim009_stimuli_original_vehicles_boats_1.png	J	0	0	0	60.3437071808148	60.5436882125214
18989.5	100	58	1	1	19	22	3	9	0	0	0	stim004_stimuli_original_animals_birds_4.png	L	0	0	0	60.7437065469567	60.9436897728592
19089.5	100	59	1	1	19	23	8	4	1	0	0	stim009_stimuli_original_vehicles_boats_1.png	E	0	0	0	61.1437322446145	61.3437286361586
19189.5	100	60	1	1	19	24	6	3	0	0	0	stim007_stimuli_original_animals_fish_3.png	D	0	0	0	61.5437374620233	61.7437350726686
19289.5	100	61	1	1	19	25	13	13	0	1	0	stim014_stimuli_original_vehicles_planes_2.png	U	0	0	0	61.9437219558749	62.143739071209
19389.5	100	62	1	1	19	26	15	12	0	0	0	stim016_stimuli_original_vehicles_planes_4.png	T	0	0	0	62.3437125447672	62.5437323420774
19489.5	100	63	1	1	19	27	5	13	0	1	1	stim006_stimuli_original_animals_fish_2.png	U	0	0	0	62.7437482383102	62.9437765690964
19589.5	100	64	1	1	19	28	8	14	0	0	0	stim009_stimuli_original_vehicles_boats_1.png	V	d	63.1363326280843	1	63.1437824692111	63.3437883695588
19689.5	100	65	1	1	19	29	14	1	0	0	0	stim015_stimuli_original_vehicles_planes_3.png	B	0	0	0	63.5440066277515	63.7437974880449
19789.5	100	66	1	1	19	30	2	15	0	0	0	stim003_stimuli_original_animals_birds_3.png	Y	0	0	0	63.9437848585658	64.1438027054537
19889.5	100	67	1	1	19	31	10	10	0	0	0	stim011_stimuli_original_vehicles_boats_3.png	Q	0	0	0	64.343801778974	64.5437964638695
