onset	duration	eventnumber	sequencenumber	condition	streamnumber	stimnumber	objectstimnumber	letterstimnumber	objecttarget	lettertarget	is2back	objectstim	letterstim	response	rt	correct	time_stimon	time_stimoff
20675	100	0	0	0	33	0	11	2	0	0	0	stim012_stimuli_original_vehicles_boats_4.png	C	0	0	0	69.9954197956249	70.1954076541588
20775	100	1	0	0	33	1	2	8	0	0	0	stim003_stimuli_original_animals_birds_3.png	K	0	0	0	70.3962883427739	70.5954338391311
20875	100	2	0	0	33	2	8	3	0	0	0	stim009_stimuli_original_vehicles_boats_1.png	D	0	0	0	70.7954360824078	70.99544247007
20975	100	3	0	0	33	3	7	5	0	0	0	stim008_stimuli_original_animals_fish_4.png	F	0	0	0	71.195445200894	71.3954384229146
21075	100	4	0	0	33	4	6	13	0	0	0	stim007_stimuli_original_animals_fish_3.png	U	0	0	0	71.5954479803331	71.7954621696845
21175	100	5	0	0	33	5	15	4	0	0	0	stim016_stimuli_original_vehicles_planes_4.png	E	0	0	0	71.9954680702649	72.1954705570824
21275	100	6	0	0	33	6	10	10	0	0	0	stim011_stimuli_original_vehicles_boats_3.png	Q	0	0	0	72.3954781638458	72.5954865021631
21375	100	7	0	0	33	7	1	14	0	0	0	stim002_stimuli_original_animals_birds_2.png	V	0	0	0	72.7954724100418	72.9954929384403
21475	100	8	0	0	33	8	9	9	0	0	0	stim010_stimuli_original_vehicles_boats_2.png	L	0	0	0	73.1955020083115	73.3955018133856
21575	100	9	0	0	33	9	0	6	0	0	0	stim001_stimuli_original_animals_birds_1.png	G	0	0	0	73.5955167342909	73.7955153202638
21675	100	10	0	0	33	10	1	12	1	0	0	stim002_stimuli_original_animals_birds_2.png	T	d	74.1872909944504	0	73.9955273158848	74.1955210254528
21775	100	11	0	0	33	11	13	11	0	0	0	stim014_stimuli_original_vehicles_planes_2.png	R	0	0	0	74.3955361903645	74.5955403838307
21875	100	12	0	0	33	12	1	10	1	1	1	stim002_stimuli_original_animals_birds_2.png	Q	0	0	0	74.795525804162	74.9955468205735
21975	100	13	0	0	33	13	12	1	0	0	0	stim013_stimuli_original_vehicles_planes_1.png	B	0	0	0	75.1955583281815	75.3955393601209
22075	100	14	0	0	33	14	3	10	0	1	0	stim004_stimuli_original_animals_birds_4.png	Q	d	75.5882204934023	1	75.5955608640797	75.7955567678437
22175	100	15	0	0	33	15	4	15	0	0	0	stim005_stimuli_original_animals_fish_1.png	Y	0	0	0	75.9955646186136	76.1955697871745
22275	100	16	0	0	33	16	5	7	0	0	0	stim006_stimuli_original_animals_fish_2.png	J	0	0	0	76.3955756877549	76.5955801247619
22375	100	17	0	0	33	17	14	0	0	0	0	stim015_stimuli_original_vehicles_planes_3.png	A	0	0	0	76.7955845622346	76.9955892432481
22475	100	18	0	0	33	18	0	14	0	0	0	stim001_stimuli_original_animals_birds_1.png	V	0	0	0	77.1955944122747	77.3956056763418
22575	100	19	0	0	33	19	7	5	0	0	0	stim008_stimuli_original_animals_fish_4.png	F	0	0	0	77.5956171839498	77.7956182081252
22675	100	20	0	0	33	20	15	4	0	0	0	stim016_stimuli_original_vehicles_planes_4.png	E	0	0	0	77.995633373037	78.1956297643483
22775	100	21	0	0	33	21	10	3	1	0	0	stim011_stimuli_original_vehicles_boats_3.png	D	0	0	0	78.3956281067804	78.5956415650435
22875	100	22	0	0	33	22	1	12	0	0	0	stim002_stimuli_original_animals_birds_2.png	T	0	0	0	78.7956345430575	78.9956531212665
22975	100	23	0	0	33	23	10	1	1	1	1	stim011_stimuli_original_vehicles_boats_3.png	B	0	0	0	79.1956570711918	79.3956734552048
23075	100	24	0	0	33	24	11	13	0	0	0	stim012_stimuli_original_vehicles_boats_4.png	U	0	0	0	79.5956774046645	79.795655510854
23175	100	25	0	0	33	25	12	1	0	1	0	stim013_stimuli_original_vehicles_planes_1.png	B	d	79.9882349753752	1	79.9956850605085	80.1956804767251
23275	100	26	0	0	33	26	6	0	0	0	0	stim007_stimuli_original_animals_fish_3.png	A	0	0	0	80.3956744302996	80.5956939840689
23375	100	27	0	0	33	27	9	9	0	0	0	stim010_stimuli_original_vehicles_boats_2.png	L	0	0	0	80.7956894002855	80.9957052967511
23475	100	28	0	0	33	28	14	1	0	0	0	stim015_stimuli_original_vehicles_planes_3.png	B	0	0	0	81.1957102217712	81.3957161218859
23575	100	29	0	0	33	29	10	10	0	0	0	stim011_stimuli_original_vehicles_boats_3.png	Q	0	0	0	81.595704711508	81.7957074423321
23675	100	30	0	0	33	30	4	15	0	0	0	stim005_stimuli_original_animals_fish_1.png	Y	0	0	0	81.9957291898318	82.1957321646623
23775	100	31	0	0	33	31	13	6	0	0	0	stim014_stimuli_original_vehicles_planes_2.png	G	0	0	0	82.3957351390272	82.5957383573987
23875	100	32	0	0	33	32	5	7	0	0	0	stim006_stimuli_original_animals_fish_2.png	J	0	0	0	82.7957447450608	82.9957513767295
23975	100	33	0	0	33	33	3	8	0	0	0	stim004_stimuli_original_animals_birds_4.png	K	0	0	0	83.1957675167359	83.3957341639325
24075	100	34	0	0	33	34	8	2	0	0	0	stim009_stimuli_original_vehicles_boats_1.png	C	0	0	0	83.5957646886818	83.795773758553
24175	100	35	0	0	33	35	2	11	0	0	0	stim003_stimuli_original_animals_birds_3.png	R	0	0	0	83.9957786831073	84.1957843396813
25408.25	100	36	1	1	13	0	5	10	0	0	0	stim006_stimuli_original_animals_fish_2.png	Q	0	0	0	88.929258692544	89.1292545963079
25508.25	100	37	1	1	13	1	7	15	0	0	0	stim008_stimuli_original_animals_fish_4.png	Y	0	0	0	89.3292453805916	89.529264446348
25608.25	100	38	1	1	13	2	9	11	0	0	0	stim010_stimuli_original_vehicles_boats_2.png	R	0	0	0	89.7292752228677	89.9295341968536
25708.25	100	39	1	1	13	3	15	14	0	0	0	stim016_stimuli_original_vehicles_planes_4.png	V	0	0	0	90.1292840973474	90.3292853650637
25808.25	100	40	1	1	13	4	11	4	0	0	0	stim012_stimuli_original_vehicles_boats_4.png	E	0	0	0	90.5292766368948	90.7292949710973
25908.25	100	41	1	1	13	5	14	1	0	0	0	stim015_stimuli_original_vehicles_planes_3.png	B	0	0	0	90.9293086733669	91.1293116477318
26008.25	100	42	1	1	13	6	15	12	1	0	0	stim016_stimuli_original_vehicles_planes_4.png	T	0	0	0	91.3293119403534	91.5293183280155
26108.25	100	43	1	1	13	7	12	0	0	0	0	stim013_stimuli_original_vehicles_planes_1.png	A	0	0	0	91.7293244721368	91.9293259838596
26208.25	100	44	1	1	13	8	15	8	1	0	0	stim016_stimuli_original_vehicles_planes_4.png	K	0	0	0	92.1293287146837	92.3293287632987
26308.25	100	45	1	1	13	9	13	3	0	0	0	stim014_stimuli_original_vehicles_planes_2.png	D	0	0	0	92.5293356385082	92.7293425141834
26408.25	100	46	1	1	13	10	2	2	0	0	0	stim003_stimuli_original_animals_birds_3.png	C	0	0	0	92.9293498769403	93.1293433429673
26508.25	100	47	1	1	13	11	4	12	0	1	0	stim005_stimuli_original_animals_fish_1.png	T	0	0	0	93.3293507061899	93.5293505112641
26608.25	100	48	1	1	13	12	3	7	0	0	0	stim004_stimuli_original_animals_birds_4.png	J	0	0	0	93.729377866257	93.9293842543848
26708.25	100	49	1	1	13	13	6	12	0	1	1	stim007_stimuli_original_animals_fish_3.png	T	0	0	0	94.1293911295943	94.3293733801693
26808.25	100	50	1	1	13	14	10	6	0	0	0	stim011_stimuli_original_vehicles_boats_3.png	G	0	0	0	94.5293980538845	94.7294015157968
26908.25	100	51	1	1	13	15	8	5	0	0	0	stim009_stimuli_original_vehicles_boats_1.png	F	0	0	0	94.929408391472	95.1294140475802
27008.25	100	52	1	1	13	16	1	9	0	0	0	stim002_stimuli_original_animals_birds_2.png	L	0	0	0	95.3294080011547	95.5294241416268
27108.25	100	53	1	1	13	17	0	13	0	0	0	stim001_stimuli_original_animals_birds_1.png	U	0	0	0	95.7294356492348	95.9294356978498
27208.25	100	54	1	1	13	18	13	0	0	0	0	stim014_stimuli_original_vehicles_planes_2.png	A	0	0	0	96.1294391602278	96.3294367706403
27308.25	100	55	1	1	13	19	9	1	0	0	0	stim010_stimuli_original_vehicles_boats_2.png	B	0	0	0	96.5294524235651	96.7294371123426
27408.5	100	56	1	1	13	20	5	8	0	0	0	stim006_stimuli_original_animals_fish_2.png	K	0	0	0	96.9294622731395	97.1294650039636
27508.5	100	57	1	1	13	21	6	10	0	0	0	stim007_stimuli_original_animals_fish_3.png	Q	0	0	0	97.3294750489295	97.5294741224498
27608.5	100	58	1	1	13	22	12	6	1	0	0	stim013_stimuli_original_vehicles_planes_1.png	G	0	0	0	97.7294905064628	97.9294890924357
27708.5	100	59	1	1	13	23	7	3	0	0	0	stim008_stimuli_original_animals_fish_4.png	D	0	0	0	98.1294949925505	98.3295001611114
27808.5	100	60	1	1	13	24	12	4	1	0	0	stim013_stimuli_original_vehicles_planes_1.png	E	0	0	0	98.5295033794828	98.7295051352121
27908.5	100	61	1	1	13	25	2	2	0	0	0	stim003_stimuli_original_animals_birds_3.png	C	0	0	0	98.929512497969	99.1295262002386
28008.5	100	62	1	1	13	26	3	13	0	0	0	stim004_stimuli_original_animals_birds_4.png	U	0	0	0	99.3295101574622	99.5295321489684
28108.5	100	63	1	1	13	27	8	15	0	1	0	stim009_stimuli_original_vehicles_boats_1.png	Y	0	0	0	99.7295353673398	99.9295415114611
28208.5	100	64	1	1	13	28	0	12	0	0	0	stim001_stimuli_original_animals_birds_1.png	T	0	0	0	100.129545948468	100.329539170954
28308.5	100	65	1	1	13	29	12	15	0	1	1	stim013_stimuli_original_vehicles_planes_1.png	Y	0	0	0	100.529734266922	100.729564624373
28408.5	100	66	1	1	13	30	1	14	0	0	0	stim002_stimuli_original_animals_birds_2.png	V	d	100.922325483523	1	100.929539073259	101.129571304657
28508.5	100	67	1	1	13	31	4	11	0	0	0	stim005_stimuli_original_animals_fish_1.png	R	0	0	0	101.329575010575	101.529566526413
28608.5	100	68	1	1	13	32	14	15	0	0	0	stim015_stimuli_original_vehicles_planes_3.png	Y	0	0	0	101.729572914075	101.929591979831
28708.5	100	69	1	1	13	33	11	9	0	0	0	stim012_stimuli_original_vehicles_boats_4.png	L	0	0	0	102.129598367494	102.329593296628
28808.5	100	70	1	1	13	34	15	7	0	0	0	stim016_stimuli_original_vehicles_planes_4.png	J	0	0	0	102.529624552932	102.729604609311
28908.5	100	71	1	1	13	35	10	5	0	0	0	stim011_stimuli_original_vehicles_boats_3.png	F	0	0	0	102.929613435175	103.129625430331
30066.75	100	72	2	0	1	0	5	10	0	0	0	stim006_stimuli_original_animals_fish_2.png	Q	0	0	0	107.563083984423	107.763085008599
30166.75	100	73	2	0	1	1	2	13	0	0	0	stim003_stimuli_original_animals_birds_3.png	U	0	0	0	107.963073598221	108.163077791687
30266.75	100	74	2	0	1	2	10	14	0	0	0	stim011_stimuli_original_vehicles_boats_3.png	V	0	0	0	108.363104659598	108.563105683308
30366.75	100	75	2	0	1	3	6	1	0	0	0	stim007_stimuli_original_animals_fish_3.png	B	0	0	0	108.763115240727	108.963099929504
30466.75	100	76	2	0	1	4	14	0	0	0	0	stim015_stimuli_original_vehicles_planes_3.png	A	0	0	0	109.163122408558	109.363132453524
30566.75	100	77	2	0	1	5	8	11	0	0	0	stim009_stimuli_original_vehicles_boats_1.png	R	0	0	0	109.563143717591	109.763138890266
30666.75	100	78	2	0	1	6	11	12	1	0	0	stim012_stimuli_original_vehicles_boats_4.png	T	0	0	0	109.963128455449	110.163149227854
30766.75	100	79	2	0	1	7	1	3	0	0	0	stim002_stimuli_original_animals_birds_2.png	D	0	0	0	110.363158785272	110.563140304293
30866.75	100	80	2	0	1	8	11	2	1	0	1	stim012_stimuli_original_vehicles_boats_4.png	C	0	0	0	110.763167903759	110.963149666786
30966.75	100	81	2	0	1	9	3	5	0	0	0	stim004_stimuli_original_animals_birds_4.png	F	d	111.354924365412	1	111.163158980198	111.36318609165
31066.75	100	82	2	0	1	10	4	15	0	0	0	stim005_stimuli_original_animals_fish_1.png	Y	0	0	0	111.563178582583	111.763190334197
31166.75	100	83	2	0	1	11	0	7	0	0	0	stim001_stimuli_original_animals_birds_1.png	J	0	0	0	111.963210375048	112.163203597534
31266.75	100	84	2	0	1	12	9	11	0	1	0	stim010_stimuli_original_vehicles_boats_2.png	R	0	0	0	112.363202427048	112.563203451224
31366.75	100	85	2	0	1	13	13	6	0	0	0	stim014_stimuli_original_vehicles_planes_2.png	G	0	0	0	112.763211545534	112.963212325703
